Purchase Order Number,Load Number,Assigned SCAC,PRO,DC Code,Destination,Cartons,Weight
10001971908,76298131,RBTW,560806310,40638,551,43,43
10001971908,76298131,RBTW,560806310A,62027,553,44,44
10001971908,76298131,RBTW,560806310B,40640,554,57,57
10001971908,76298131,RBTW,560806310C,40641,555,82,82
10001971908,76298131,RBTW,560806310D,40642,556,73,73
10001971908,76298131,RBTW,560806310E,40643,557,71,71
10001971908,76298131,RBTW,560806310F,40644,558,66,66
10001971908,76298131,RBTW,560806310G,62028,559,72,72
10001971908,76298131,RBTW,560806310H,40645,560,71,71
10001971908,76298131,RBTW,560806310I,40646,578,91,91
10001971908,76298131,RBTW,560806310J,40647,579,79,79
10001971908,76298131,RBTW,560806310K,40648,580,55,55
10001971908,76298131,RBTW,560806310L,62029,587,75,75
10001971908,76298131,RBTW,560806310M,40649,588,74,74
10001971908,76298131,RBTW,560806310N,40650,589,65,65
10001971908,76298131,RBTW,560806310O,40651,590,69,69
10001971908,76298131,RBTW,560806310P,62030,593,74,74
10001971908,76298131,RBTW,560806310Q,62031,594,83,83
10001971908,76298131,RBTW,560806310R,42158,3801,60,60
10001971908,76298131,RBTW,560806310S,42159,3802,53,53
10001971908,76298131,RBTW,560806310T,42160,3803,78,78
10001971908,76298131,RBTW,560806310U,42161,3804,83,83
10001971908,76298131,RBTW,560806310V,42162,3806,67,67
10001971908,76298131,RBTW,560806310W,62032,3808,66,66
10001971908,76298131,RBTW,560806310X,62034,3811,88,88
10001971908,76298131,RBTW,560806310Y,77449,3856,29,29
10001971908,76298131,RBTW,560806310Z,77052,3857,17,17
10001971908,76298131,RBTW,560806310AA,77065,3865,29,29
10001971908,76298131,RBTW,560806310AB,77650,3868,22,22
