Purchase Order Number,Vendor Name,Department,Address,Shipment ID,Load Number,Assigned SCAC,Executing SCAC,PRO,Trip ID,Truck Load Optimization Reference ID,Status,Destination,Pickup Date,In Yard Goal Date,Final Routing Expected By,Cartons,Weight,Cube,Pallet Spaces,Commodity,bol,Appointment Number,Created By,Review By Date,Last Updated By
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699120,76298131,RBTW,,560806310,,,Picked Up,3811,2026-07-17,2026-07-20,2026-07-17,88,88,41,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699119,76298131,RBTW,,560806310,,,Picked Up,3808,2026-07-17,2026-07-20,2026-07-17,66,66,34,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699118,76298131,RBTW,,560806310,,,Picked Up,3868,2026-07-17,2026-07-23,2026-07-17,22,22,14,0.09,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699117,76298131,RBTW,,560806310,,,Picked Up,3857,2026-07-17,2026-07-19,2026-07-17,17,17,13,0.08,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699116,76298131,RBTW,,560806310,,,Picked Up,3865,2026-07-17,2026-07-20,2026-07-17,29,29,15,0.09,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699115,76298131,RBTW,,560806310,,,Picked Up,3856,2026-07-17,2026-07-28,2026-07-17,29,29,17,0.19,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699114,76298131,RBTW,,560806310,,,Picked Up,3806,2026-07-17,2026-07-28,2026-07-16,67,67,35,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699113,76298131,RBTW,,560806310,,,Picked Up,3804,2026-07-17,2026-07-19,2026-07-16,83,83,41,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699112,76298131,RBTW,,560806310,,,Picked Up,3803,2026-07-17,2026-07-24,2026-07-16,78,78,38,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699111,76298131,RBTW,,560806310,,,Picked Up,3802,2026-07-17,2026-07-19,2026-07-17,53,53,35,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699110,76298131,RBTW,,560806310,,,Picked Up,3801,2026-07-17,2026-07-25,2026-07-23,60,60,30,0.19,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699109,76298131,RBTW,,560806310,,,Picked Up,593,2026-07-17,2026-07-27,2026-07-16,74,74,39,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699108,76298131,RBTW,,560806310,,,Picked Up,594,2026-07-17,2026-07-20,2026-07-17,83,83,42,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699107,76298131,RBTW,,560806310,,,Picked Up,590,2026-07-17,2026-07-23,2026-07-21,69,69,34,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699106,76298131,RBTW,,560806310,,,Picked Up,587,2026-07-17,2026-07-22,2026-07-21,75,75,36,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699105,76298131,RBTW,,560806310,,,Picked Up,589,2026-07-17,2026-07-19,2026-07-17,65,65,34,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699104,76298131,RBTW,,560806310,,,Picked Up,588,2026-07-17,2026-07-28,2026-07-17,74,74,38,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699103,76298131,RBTW,,560806310,,,Picked Up,580,2026-07-17,2026-07-24,2026-07-23,55,55,28,0.19,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699102,76298131,RBTW,,560806310,,,Picked Up,579,2026-07-17,2026-07-19,2026-07-17,79,79,40,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699101,76298131,RBTW,,560806310,,,Picked Up,558,2026-07-17,2026-07-27,2026-07-23,66,66,33,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
10001971908,ISTAR JEWELRY LLC,215,"34 Maple Ave, Pine Brook, NJ US 07058 ",SIQ15699100,76298131,RBTW,,560806310,,,Picked Up,556,2026-07-17,2026-07-23,2026-07-17,73,73,36,0.28,DRY GENERAL,,,SYSTEM,2026-07-09 23:59:00,jefflu@stanleycreations.com
