Component;Description;Sug.Extra;Aft.Orders;Available;Committed;OnHand;OnOrder;Vendor
S18BDCH3B;18' NECKLACE W/3 PCS OF SS1040L BDS;      0 ;     79-;    129-;    133 ;      4 ;     50 ;1ACPL  ;
SS711002 ;HOOP-RHOD PLATE 20MM D/C OVAL CT;      0 ;    123-;    123-;    300 ;    177 ;      0 ;1ACPL  ;
SS711917 ;HOOP-3X20MM CLKTOP ROUND;      0 ;      8-;      8-;     28 ;     20 ;      0 ;1ACPL  ;
SS745689 ;SS TAILORED OVAL HOOP;      0 ;      8-;      8-;     80 ;     72 ;      0 ;1ACPL  ;
SS745836 ;HOOP 30MM 2MMTBE;      0 ;     62-;    262-;    262 ;      0 ;    200 ;1ACPL  ;
SS745837 ;HOOP 40MM 2MMTBE;      0 ;     20-;    220-;    220 ;      0 ;    200 ;1ACPL  ;
SS746095 ;SSRH 4PR POL/DC HOOP SET;      0 ;     23-;     36-;     36 ;      0 ;     13 ;1ACPL  ;
SS746098 ;SSRH POL PUFF TAPER CLKTP HOOP;      0 ;     60-;     60-;     60 ;      0 ;      0 ;1ACPL  ;
SS746110 ;HOOP-20MM D/C CLKTP RH;      0 ;     19-;     69-;    150 ;     81 ;     50 ;1ACPL  ;
SS746268 ;SSRH 31mm HALF ROUND HOOP;      0 ;      2-;     92-;    108 ;     16 ;     90 ;1ACPL  ;
SV746828 ;SSGP 2PR CZ STD/OVL HP SET;      0 ;     71-;    211-;    242 ;     31 ;    140 ;1ACPL  ;
5MCRYBDWH;FIREBALL-5MM CRYS ADVANCE;      0 ;     16-;     16-;     74 ;     58 ;      0 ;1ANSUN ;
C1420033 ;7.5MM FIREBALL 1/2DRILL PREC CRYS;      0 ;     16 ;     16 ;    160 ;    176 ;      0 ;1ANSUN ;
S740348-8;BRAC-PP CZ/LNK CHN CLASP BRC 8";      0 ;      1-;      1-;      6 ;      5 ;      0 ;1ANSUN ;
SB745810 ;NK-2TN EC/FGP TRPL BALL STATION Y-NK;      0 ;     20-;     20-;     75 ;     55 ;      0 ;1ANSUN ;
SB745816 ;HOOP-2TN HOOP W/BALL CHRM;      0 ;     40-;     40-;    150 ;    110 ;      0 ;1ANSUN ;
SB83070-7;RING 2T RD CZ ROPE PAV RG;      0 ;     36-;     36-;     75 ;     39 ;      0 ;1ANSUN ;
SR18CB   ;RGOS 020 CABLE CHAIN 18";      0 ;    120-;    120-;     75 ;     45-;      0 ;1ANSUN ;
SR745960 ;HOOP-CLR BAG/LT RS RND CRYS CLKTP FLSH RGP;      0 ;     20-;     20-;    150 ;    130 ;      0 ;1ANSUN ;
SR804551X;DNGL FANCY CRY;      0 ;     38 ;     38 ;    150 ;    188 ;      0 ;1ANSUN ;
SS12990-6;SS 6MM SQU CZ EAR;      0 ;     14-;     14-;    138 ;    124 ;      0 ;1ANSUN ;
